image_id,obs_day,obs_hour,obs_min,obs_sec,image_category,width,height,aspect_ratio,description1,description2,camera_make,camera_model,iso,aperture_value,focal_length,exposure_time,total_days,stats_downloads,high_word_count,high_color_count,high_weighted_word_count
eb2af91326,Friday,23,51,37,1,4632,3088,1.5,"Nestled on Ten Mile Beach between Woody Head and Evens Head lies Black Rocks. A unique getaway distinguished by the crumbly Coffee Rock, giving the park its name.",green grass near body fo water,fujifilm,X-T1,400.0,4.5,24.3,0.0055555555555555,1372,1522,20,5,6800.879261622916
ca6403e9fb,Friday,22,21,46,1,5456,3632,1.5,,cluster of stars illustration,sony,SLT-A58,800.0,3.5,18.0,20.0,2352,155084,5,1,8885.266800124253
638084eb93,Friday,1,43,7,1,3725,5587,0.67,,silhouette photography of mountain and body of water,sony,ILCE-7M3,400.0,11.0,35.0,0.01,1576,47142,23,1,7062.694394084183
1c228e4635,Friday,20,25,8,1,3600,2400,1.5,,silver-colored ring,canon,Canon EOS DIGITAL REBEL XS,400.0,2.0,50.0,0.001,1478,913,5,1,6014.403981586033
6714f07611,Thursday,14,12,30,1,4048,3032,1.34,,white and green trees painting,dji,FC2103,100.0,2.8,4.5,0.01,1234,2123,22,2,7084.840439115798
574e962ec2,Tuesday,10,18,35,1,2624,3936,0.67,,green viper's bow plant,nikon,NIKON D610,320.0,2.5,35.0,0.003125,1418,1455,16,0,6704.53348782963
59208f8b8f,Thursday,1,4,21,1,5889,3926,1.5,,lighthouse on cliff near fence and house,sony,ILCE-7M2,80.0,4.0,34.0,0.005,2739,13873,12,6,7987.212283602809
c565ffd08f,Tuesday,21,53,33,1,3463,2310,1.5,,silhouette of person standing on brown sand,sony,ILCE-7RM3,125.0,5.6,72.0,0.001,1480,3507,9,0,6429.406112942072
d3a29e58ce,Monday,19,22,59,1,5683,3789,1.5,"The summer is gone, autumn has started, winter is coming and this sunflower is about to loose its color - fading into the dark.",yellow sunflower overlooking leaves,sony,ILCE-7M3,1000.0,2.8,28.0,0.1,1587,3113,7,0,6122.621338528617
f1a3bc29b9,Friday,15,54,41,1,3648,5472,0.67,"During my trip to Colorado, the great sand dunes were at the top of my list to see. They did not disappoint. There’s something peaceful about feeling alone in the desert, surrounded by mountains of sand. This shot represents my present thoughts in this moment of surreal aw of creation.",person standing on sand,canon,Canon EOS 6D,200.0,4.0,38.0,0.00025,1527,3806,7,0,6090.760050267004
9ec27d2e3a,Wednesday,18,49,42,1,4480,6720,0.67,,green tree on brown field during daytime,canon,Canon EOS 5D Mark IV,100.0,9.0,50.0,0.00625,1116,4314,11,3,6349.863396913054
db0a16b3c5,Sunday,7,1,26,1,4928,4775,1.03,Rain of stars,silhouette of mountain showing stars during night time,nikon,NIKON D7000,5000.0,2.2,35.0,13.0,1294,2397,16,1,6565.947780385098
ded4ed4a70,Wednesday,5,58,16,1,5472,3648,1.5,,white Fujifilm instant camera,canon,Canon EOS 6D,500.0,3.5,28.0,0.01,1445,3911,4,0,5836.371234525096
87aa4db7c7,Tuesday,3,7,50,1,5472,3648,1.5,,fruits on tree branch during day,canon,Canon EOS 6D,100.0,7.1,50.0,0.004,2552,18441,4,4,7426.577254910795
2b6617a452,Tuesday,20,0,25,1,5472,3648,1.5,,rectangular puppy litter on gray basin,canon,Canon EOS 6D,100.0,1.8,50.0,0.002,1523,2843,0,0,5543.002669379101
264b0ce41e,Friday,20,11,2,1,3456,5184,0.67,Pink sky blue sea,photo of body of water surrounded by rocks,canon,Canon EOS 700D,100.0,3.5,18.0,0.002,1891,98275,20,2,10302.198388721048
f05eaf3482,Tuesday,3,39,14,1,5842,4868,1.2,,view of white and peach color flowers painting,nikon,NIKON D800,100.0,1.8,50.0,0.002,1509,3716,1,0,5604.577632181023
819145ec7c,Tuesday,18,6,42,1,2184,3272,0.67,A floating jellyfish in a sea of blue,box jellyfish,nikon,NIKON D750,800.0,2.8,70.0,0.01,1236,6763,10,1,6732.388240185163
3cffdc0ff1,Wednesday,9,4,2,1,2912,4368,0.67,,snow covered mountain,canon,Canon EOS 5D,100.0,4.0,24.0,0.0025,1529,4746,17,3,6726.576254603313
9cc9b8152d,Wednesday,13,36,48,1,3448,5170,0.67,A storm hitting the lighthouse in Porthcawl,big waves crashing on lighthouse during daytime,sony,ILCE-7RM3,320.0,5.0,84.0,0.0008,1284,7988,15,1,6584.239116105966
cc753a2548,Monday,16,12,36,1,3264,4896,0.67,,standing woman watching tree during daytime,fujifilm,X-T10,400.0,2.8,27.0,0.0071428571428571,1580,4736,8,0,6303.961235776162
42df9f0767,Monday,0,28,20,1,3648,5472,0.67,,bare trees,canon,Canon EOS 6D,100.0,3.2,135.0,0.0025,1181,2590,5,1,6159.620107261298
944486abd2,Saturday,18,13,52,1,4028,6034,0.67,,full moon above hill at night,nikon,NIKON D610,160.0,5.6,200.0,0.0025,1428,4034,18,0,6722.321047152595
7de9df1e38,Wednesday,14,11,47,1,3456,2304,1.5,,jellyfish underwater photography,nikon,NIKON D3100,400.0,1.8,50.0,0.004,2117,13622,5,5,8492.976725485816
c1553ef3da,Thursday,6,1,25,1,5188,3393,1.53,,Antelope during daytime,sony,ILCE-7M2,400.0,5.6,35.0,0.0015625,1367,2756,13,0,6451.116903554484
9d053171be,Friday,17,39,45,1,6016,4000,1.5,Furieuse montagne,mountain covered by snow,nikon,NIKON D3200,100.0,5.6,105.0,0.0015625,1555,3231,15,0,6632.7200400224365
0260e4cac9,Sunday,4,43,17,1,3648,5472,0.67,,green pine trees at daytime,canon,Canon EOS 6D,250.0,4.0,105.0,0.004,1553,3271,16,1,6615.115280465452
e41a61b373,Friday,17,23,28,1,3872,2581,1.5,,green leaves,canon,Canon EOS 1200D,200.0,2.8,40.0,0.008,1527,1804,3,0,6021.164934203873
94bacd1aaa,Thursday,19,5,41,1,3456,5184,0.67,,pink-petlaed flower,canon,Canon EOS 700D,554.725571381252,1.8,50.0,0.005,1388,644,2,0,5596.0561505263395
f4046245cc,Wednesday,13,14,25,1,3592,2395,1.5,Snow on a mountain in Gudauri,birds eye photography of snow covered mountain,canon,Canon EOS 400D DIGITAL,400.0,18.0,30.0,0.0025,2782,16258,7,1,9173.353488372093
9ad60b0fc4,Wednesday,20,59,1,1,1867,2800,0.67,,green plant on brown wooden table,fujifilm,X-Pro2,100.0,4.0,56.0,0.001,997,944,4,0,6029.586456426758
a87f9e7b73,Thursday,9,5,56,1,3500,2333,1.5,"Frozen forest on Kosmaj mountain, Belgrade, Serbia.  More photos on my Instagram > https://www.instagram.com/valentinsalja",withered tree covered in snow,canon,Canon EOS 700D,100.0,4.5,10.0,0.01,1507,2544,15,0,6685.4967224723405
b2eebb0b09,Tuesday,3,15,51,1,6016,4016,1.5,Denver Trail,snow and tree covered field during day,nikon,NIKON D750,400.0,3.5,18.0,0.001,1243,1858,14,0,6503.692245030955
ab891cba0b,Tuesday,19,37,47,1,4000,6000,0.67,,green and brown trees during daytime,nikon,NIKON D5200,100.0,1.8,35.0,0.0008,1019,1715,9,0,6298.081717386962
1c32cbc47e,Thursday,0,7,36,1,5955,3902,1.53,"Australian beach. People seemed to like a previous similar photo, so I thought I might add a couple more. I think these would look good printed on large stretched canvases. The photo is of the gorgeous clear waters of Cosy Corner South beach in Tasmania Australia.",green calm sea and seashore view,nikon,NIKON D750,400.0,16.0,35.0,0.0013333333333333,1542,4391,19,2,6785.131722488559
42cf8a4a62,Wednesday,15,56,14,1,2482,3725,0.67,"This photo was taken by Instagram user @Jacobhestonvibes, who is part of Trend's curated creator network. For more photos like this, or to work with creators like this, check out https://trend.io",brown rock formation on body of water during daytime,hasselblad,L1D-20c,100.0,2.8,10.3,0.00625,1018,2320,19,6,7136.65158426078
3a5de68f00,Wednesday,9,53,33,1,4084,6120,0.67,,low-angle photograph of palm trees,nikon,NIKON D810,31.0,2.8,24.0,0.00125,1186,1324,11,1,6520.867288546499
b91d7df4f8,Friday,16,32,1,1,3024,4032,0.75,,black and white dog,apple,iPhone 11 Pro,250.0,2.0,6.0,0.0081967213114754,1198,1357,1,0,5571.697658363813
b2d66fd82a,Friday,18,56,43,1,4426,3162,1.4,,leaves float on water,canon,Canon PowerShot SX60 HS,100.0,5.6,60.0,0.0025,1212,1689,9,1,6265.563286295658
ababc15b1f,Thursday,16,42,34,1,5244,3933,1.33,Bailey and Bella 8 weeks old. Scottish Highland Kittens.,two cats on gray petbed,nikon,NIKON Z 6,1600.0,2.5,50.0,0.004,1437,10165,3,0,5919.750593202
05055902fb,Monday,17,53,42,1,3648,5472,0.67,,snow covered mountain,canon,Canon EOS 6D,100.0,11.0,50.0,0.0166666666666666,1398,2699,16,1,6648.895594138533
d2d7dc7e20,Wednesday,18,39,37,1,2885,1826,1.58,Amas des Pléiades M45,shining stars at night,canon,EOS 300D,554.725571381252,7.5,600.0,3.538531127046335,1256,2917,10,5,6497.389951005284
0e3e7a3bba,Wednesday,2,44,56,1,3024,3853,0.78,,pink petaled flowers on floor,google,Pixel 3,88.0,1.8,4.4,0.025,1179,1597,0,2,5478.599837470836
53199109f2,Thursday,13,21,44,1,4164,3126,1.33,,tilt shift photography of a red maple leaf,olympus,E-M10MarkII,200.0,2.8,60.0,0.025,1969,4117,3,1,8022.729373885177
992569d48e,Tuesday,22,40,49,1,4000,3000,1.33,,aerial photography of seawaves during daytime,dji,FC330,100.0,2.8,3.6,0.001,1543,19215,23,0,7312.662666715705
cf082ea046,Saturday,20,46,38,0,4411,3151,1.4,,person on boat at daytime,panasonic,DMC-GX7,200.0,5.6,130.0,0.0025,2772,846,14,3,6726.049620878031
40b68a5b1f,Saturday,22,56,3,1,3264,4624,0.7099999999999999,,pathway between leafless trees,nikon,NIKON D5100,200.0,2.5,35.0,0.0166666666666666,1182,1245,9,0,6306.401723189419
83b6ab306b,Saturday,18,36,24,1,6000,3376,1.78,,green pine trees covered with snow,sony,NEX-7,100.0,9.0,100.0,0.01,1120,1685,14,0,6749.141197603502
169806994e,Wednesday,1,40,47,1,5355,3570,1.5,Wild Rooster,white-and-brown hen standing on gray concrete surface,nikon,NIKON D810,500.0,4.0,55.0,0.0015625,2383,11939,0,1,6369.482930402931
ee912ab166,Sunday,19,45,19,1,5472,3648,1.5,,brown insect,canon,Canon EOS 70D,2000.0,6.3,60.0,0.0125,2792,3891,1,1,6855.817177286156
ee30288926,Wednesday,3,0,57,1,3469,2229,1.56,,aerial photo of seashore and ocean,dji,FC220,400.0,2.2,4.7,0.0125,1571,2789,19,0,7147.2991834885
d4b11681f1,Monday,5,40,23,1,3648,5472,0.67,,palm tree during nighttime,canon,Canon EOS 6D,1600.0,2.8,20.0,30.0,1377,8128,15,0,6590.23918604219
af4c082c8d,Thursday,2,50,15,1,4000,2670,1.5,,selective photography of conifer cone,nikon,NIKON D810,400.0,2.5,50.0,0.008,2564,8743,3,0,8252.546769812212
a560d9f577,Thursday,22,13,1,1,5623,3749,1.5,,pink trees,canon,Canon EOS Rebel T7i,3200.0,8.0,50.0,4.0,1576,3773,12,2,6338.519235135496
73f4dcf0f0,Tuesday,2,44,26,1,3888,5184,0.75,,green fern plant in close up photography,panasonic,DC-GX9,200.0,1.7,43.0,0.00125,1012,2273,4,1,6098.203088803089
2d8d293357,Wednesday,5,56,43,1,5168,3448,1.5,,white and black zebra,sony,ILCE-7RM3,100.0,1.8,85.0,0.00025,1165,1389,7,0,6315.535950510122
c06706614d,Friday,4,7,50,1,4928,3280,1.5,Surfer at sundown,man standing on seashore during sunset,nikon,NIKON D4,1000.0,5.6,14.0,0.0004,2402,29447,17,1,9351.633140803138
bb1d151abe,Thursday,12,42,28,1,3640,5464,0.67,,,hasselblad,L1D-20c,100.0,11.0,10.3,0.0769230769230769,1437,22070,8,0,7209.613848602638
bfbad1d3da,Tuesday,8,55,42,1,4867,3245,1.5,,RV trailer on mountain near island during dawn,sony,ILCE-7M3,320.0,9.0,17.0,0.000125,1159,1667,21,0,6803.619132996714
8ec99fa974,Saturday,8,21,59,1,5728,7637,0.75,,,ricoh,PENTAX 645Z,400.0,2.8,55.0,0.005,1512,4907,6,0,6713.758591967298
0917d24815,Wednesday,20,4,32,1,3432,4096,0.8399999999999999,Into the fall,man standing on stone near calm body of water,nikon,NIKON D5500,100.0,5.6,18.0,0.02,1207,1370,21,0,6794.318843648569
2dcc6980cd,Wednesday,9,44,17,1,4592,3064,1.5,,low angle view of two-light post,panasonic,DMC-GF8,200.0,4.0,14.0,0.002,1480,1152,2,1,5807.615146748212
c5cebe3203,Monday,14,39,25,1,3548,2354,1.51,,close-up photography of succulent,canon,Canon EOS 5D Mark III,160.0,3.5,70.0,0.00625,1454,1050,4,0,5918.904684068274
f21241d8ec,Tuesday,4,38,52,1,3600,2400,1.5,,pair of white sandals,canon,Canon EOS 5D Mark III,1000.0,2.8,55.0,0.003125,1348,1570,1,1,5556.145128444194
2a86a5fb01,Sunday,11,17,52,1,3999,5999,0.67,,shallow focus photography of white flowers,canon,Canon EOS 80D,100.0,1.4,50.0,0.003125,1378,2680,8,3,6308.3685965605255
365b80157c,Sunday,8,51,35,1,4912,3264,1.5,,selective focus photography of red maple leaves,sony,NEX-5R,100.0,9.0,42.0,0.005,2393,75792,4,2,10234.349614395887
d5d68a2bcd,Monday,19,19,35,1,5464,3640,1.5,Still lost,road in the middle of the forest during day,hasselblad,L1D-20c,200.0,2.8,10.3,0.0333333333333333,1244,1226,14,1,6782.385901463253
9064c80e27,Sunday,5,23,16,1,6000,4000,1.5,,human hands holding stone,sony,ILCE-7,800.0,4.5,40.0,0.00625,1385,1469,4,0,6087.632065610678
92bb17fa26,Saturday,23,30,5,1,3024,4032,0.75,,gray train,apple,iPhone 8 Plus,400.0,2.8,6.6,0.0083333333333333,1217,1654,1,0,5302.700131752305
93004eb039,Thursday,13,35,6,1,4000,6000,0.67,Sunset at the lake.,brown wooden dock on lake during daytime,canon,Canon EOS 6D Mark II,100.0,2.8,24.0,0.000625,996,2636,11,0,6326.549615612496
661c4b6044,Thursday,12,49,6,1,4928,3264,1.51,,brown leafed tree near bed of yellow flowers,nikon,NIKON D7000,250.0,8.0,40.0,0.00125,2970,84367,9,1,9084.383695555358
3b733e76de,Wednesday,22,1,51,1,6469,4313,1.5,Plants,green leafed plant in gold pot on white table,canon,Canon EOS 5D Mark IV,1600.0,5.0,50.0,0.003125,2032,21030,2,0,7019.479100310645
f557d97a97,Tuesday,21,50,59,1,3872,2592,1.49,Goat by lake,brown animal near body of water,nikon,NIKON D60,200.0,5.6,200.0,0.002,2635,5710,4,2,7352.747598805289
650060f31c,Sunday,21,42,53,1,4592,3448,1.33,,close view of compound leaves,panasonic,DMC-G80,400.0,2.8,45.0,0.000625,1230,2423,6,0,6511.504149820245
4c821a5b01,Thursday,0,8,51,1,2687,3519,0.76,Pane in Vain,red wooden framed glass broken window,pentax,PENTAX K-x,100.0,5.6,35.0,0.002,1934,2921,0,1,6017.659898254539
8125b53d2f,Wednesday,3,23,21,1,7952,5304,1.5,,,sony,ILCE-7RM3,1000.0,2.8,35.0,0.04,1585,4447,10,0,6543.122233531772
345186012f,Tuesday,19,5,55,1,2651,3976,0.67,My friend from Australia was visiting and I promised him I would take him to one of my favorite beach spots. Little did he know that this particular spot is known for sea turtles hanging out on the beach. We named her Brooke –– meet Brooke.,gray turtle on seashore,canon,Canon EOS 6D,125.0,2.5,50.0,0.0005,1572,4285,9,2,6320.995596402131
159150030f,Sunday,19,49,13,1,3200,4000,0.8,Leaf with Waterdrops,selective focus photography of water drops on leaf,canon,Canon EOS 80D,100.0,2.8,100.0,0.008,1476,1413,3,0,5864.913343908662
242c3a7ddb,Monday,6,54,51,1,4220,2820,1.5,Fog covers Hurricane Ridge,snow mountain,apple,iPhone 6,32.0,2.2,4.2,0.0002780094523213,2770,5767,11,2,9226.893547597683
2371fe5652,Wednesday,7,35,0,1,3262,4903,0.67,Sunset on top of the Stockhorn.,snow covered slope and mountain during golden hour,nikon,NIKON Z 6,800.0,22.0,38.0,0.0125,1158,963,26,2,6971.047748976807
ff3085014f,Sunday,3,7,7,1,3553,4442,0.8,,person standing on the edge of a cliff during daytime,fujifilm,X-T2,250.0,3.6,34.3,0.0166666666666666,1525,4168,19,4,6695.758921763869
1fee3d7828,Tuesday,7,30,45,1,3688,5532,0.67,,frozen snow,fujifilm,X-T3,640.0,6.4,90.0,0.005,1229,9571,14,1,7042.774629580521
e96574e005,Monday,0,12,34,1,5169,3446,1.5,,"Golden Gate Bridge, California",canon,Canon EOS 6D,100.0,13.0,24.0,0.0333333333333333,2896,90160,13,2,9147.571006108192
b7ba153231,Sunday,20,23,18,1,2846,4270,0.67,,body of water between trees,fujifilm,X-A2,500.0,8.0,50.0,0.0071428571428571,1455,1121,14,0,6529.639733380195
27232aa8d6,Tuesday,17,57,32,1,4632,3464,1.34,Caramel-brown-white-coloured dog in the snow.,shallow focus photo of long-coated brown and white dog,olympus,E-M5,200.0,2.0,45.0,0.00125,1166,1046,5,0,6088.476497326023
9536c22701,Monday,18,40,41,1,7360,4912,1.5,,snow capped mountain under white clouds in mirror reflection photography,nikon,NIKON D810,64.0,11.0,70.0,0.008,2497,114040,16,4,9470.036962171527
f4e411c3cc,Friday,9,26,46,1,3456,5184,0.67,,koala bear smelling foot,canon,Canon EOS 600D,1600.0,4.5,125.0,0.0008,1548,14694,4,2,6102.3233502082185
4acee3c598,Thursday,15,2,2,1,5539,3693,1.5,,pink piglet,canon,Canon EOS Rebel T6i,100.0,2.8,100.0,0.00025,1584,23750,6,0,6062.1183202508555
43e25ac812,Sunday,1,24,56,1,3131,4697,0.67,,clear waterfalls during daytime,canon,Canon EOS 6D,100.0,3.5,24.0,0.0166666666666666,1301,1930,22,1,6752.626836550599
41b3cdd99e,Thursday,9,31,35,1,3648,5472,0.67,,brown and green trees near mountain during daytime,canon,Canon EOS 70D,320.0,9.0,50.0,0.004,1521,80009,13,0,6683.681144604656
f372855937,Saturday,0,55,43,1,4960,3386,1.46,"While you enjoy a meal at the Cairns aquarium restaurant, the sharks in the tank check you out as a possible meal!",gray reef shark underwater,nikon,NIKON D750,800.0,3.0,90.0,0.003125,1918,7888,4,6,8199.559787034137
d2b216424e,Monday,16,17,11,1,3000,2000,1.5,,brown deer on green grass field during daytime,sony,ILCE-7M3,1000.0,2.8,75.0,0.0008,1034,1635,7,0,6325.070520884487
2dae3cb3eb,Monday,19,31,34,1,3992,2992,1.33,Patterns of the ocean,high-angle photo of seawave,dji,FC220,100.0,2.2,4.7,0.001,1587,53239,22,3,7348.316504677097
8331f5c647,Monday,18,55,21,1,3024,4032,0.75,Green and orange,orange fruit on black metal rack,apple,iPhone 7,32.0,1.8,4.0,0.04,1027,1205,1,2,5818.893512751924
1d3f13ef08,Saturday,14,36,50,1,2667,4000,0.67,,brown tabby cat on brown wooden table,canon,Canon EOS 5D Mark IV,100.0,2.8,67.0,0.0166666666666666,1141,399,0,0,5468.564878697355
88bc817dae,Friday,16,5,24,1,4024,6048,0.67,"This was moments before a snow storm was about to unleash its thick blanket of snow. Luckily in our area, the snow doesn't stay around for too long.",brown wooden shack beside body of water,nikon,Z6,400.0,2.8,70.0,0.00025,1149,822,9,0,6331.221098352671
bf0d4b7709,Saturday,20,28,37,1,3456,5184,0.67,,red flowers in the field,canon,Canon EOS 600D,100.0,2.8,50.0,0.0015625,1022,1562,2,2,6007.187485324091
80143c9075,Wednesday,4,58,58,1,5000,3333,1.5,Deep red chrysanthemum up close,selective focus photography of red petaled flowers,olympus,E-M1,200.0,2.8,40.0,0.004,2411,18006,7,1,8349.509954269914
4b4c10bcdd,Monday,17,46,45,1,8688,5792,1.5,,silhouette of tree during daytime,canon,Canon EOS 5DS,1600.0,4.0,24.0,0.0015625,1286,1472,14,0,6613.719993657317
4f0452e2db,Wednesday,4,30,6,1,3357,5412,0.62,,white cat,sony,ILCE-7M3,125.0,1.4,85.0,0.002,1424,2737,1,0,5508.688125448787
b4c18017f4,Wednesday,5,46,18,1,4716,3144,1.5,Forest near a turquoise lake,lake beside green pine trees,fujifilm,X-T1,200.0,4.7,49.4,0.002,2390,31402,16,1,8989.167553473573
48c725be23,Monday,5,13,2,1,2579,3224,0.8,,person skateboarding,canon,Canon EOS 80D,100.0,2.8,70.0,0.00025,1293,12966,7,0,5934.382534542073
69152e1cbd,Friday,0,20,43,1,2256,1496,1.51,,withered brown leaves in closeup photography,nikon,NIKON D40,800.0,5.6,85.0,0.0166666666666666,1940,1639,3,0,7212.216425423972
b4ba35019f,Sunday,1,53,15,1,5184,2967,1.75,,Mexico Mi Amor poster,canon,Canon EOS REBEL T5,400.0,4.5,37.0,0.0025,1378,2353,9,5,6339.488869345935
4b66b55a3c,Tuesday,0,28,15,1,7952,5304,1.5,Northern California,green trees digital wallpaper,sony,ILCE-7RM2,100.0,9.0,70.0,0.0166666666666666,1264,1482,21,0,7009.144977722218
24fa90bcaa,Saturday,22,28,43,1,5000,3335,1.5,,sea waves during daytime,sony,ILCE-7RM3,800.0,9.0,68.0,0.0025,1490,4349,15,0,6629.599274275194
31a0f78bb4,Monday,7,0,52,1,4127,2752,1.5,,desert under white sky during daytime,canon,Canon EOS 5D Mark IV,250.0,2.8,200.0,0.0008,1104,8107,10,1,6240.656410577179
48c49ad44f,Monday,15,42,33,1,2848,4288,0.66,,three orange petaled flowers in bloom,nikon,NIKON D90,250.0,6.3,122.0,0.008,1496,2466,14,0,6478.89937556075
2e5970b9d6,Thursday,18,31,58,1,3648,5472,0.67,,person standing near trees,canon,Canon EOS-1D X Mark II,100.0,2.8,70.0,0.000625,1409,414,15,0,6378.959315037201
c73cb193c8,Thursday,20,28,38,1,2592,3872,0.67,,water droplets on glass,nikon,NIKON D3000,1600.0,2.8,50.0,0.0025,1402,3379,7,0,6413.106181199018
b912cab23a,Sunday,1,2,24,1,3968,2976,1.33,,three person standing on desert sand during daytime,dji,FC1102,101.0,2.6,4.5,0.0005,1161,1348,9,2,6109.846860905915
aea47f654f,Wednesday,21,1,39,1,5760,3840,1.5,Please follow me on instagram @chrishenry,brown fox on green grass during daytime,canon,Canon EOS 5D Mark III,200.0,2.0,50.0,0.008,1088,1346,7,1,6222.160541990184
e929155c35,Tuesday,1,41,55,1,3456,5184,0.67,If you love plants check out @karaeadscreates on instagram!,,canon,Canon EOS 7D,800.0,2.5,50.0,0.00625,1516,3732,1,0,5736.564766864644
40a6d09987,Tuesday,5,4,35,1,3296,4120,0.8,Man + Dog + Paddle board = Perfection,person on boat near pine trees at daytime,canon,Canon EOS Rebel T6,100.0,8.0,55.0,0.004,1327,566,17,0,6761.844000232365
f7f899d4f6,Saturday,3,51,39,1,6000,4000,1.5,,water falls in forest in nature photography,canon,Canon EOS Rebel T7i,400.0,1.8,50.0,0.0005,1540,7757,17,0,6805.931811565395
6b912be3d8,Monday,3,0,18,1,2500,1667,1.5,Cloudy Cabin Escape,tsunami about to hit a house during day time,canon,Canon EOS 7D,100.0,10.0,30.0,0.00625,2413,47476,20,1,9002.732531844602
279ca6fffa,Saturday,18,56,35,1,5462,8192,0.67,5:15 am,white snow,nikon,NIKON D850,200.0,1.8,14.0,25.0,1463,2479,17,0,6457.451790253729
a7d8f241c3,Saturday,21,57,22,1,11906,5953,2.0,Greenland ocean sunset,landscape and aerial photography of icebergs on body of water during daytime,panasonic,DMC-GF2,100.0,8.0,14.0,0.002,2407,28155,17,1,9460.12402990993
9a0567a582,Friday,19,19,6,1,3024,4032,0.75,,boats on water near houses,apple,iPhone 6s,25.0,2.2,4.2,0.0007407407407407,1506,786,5,1,6160.520518007298
f9eb3d789d,Friday,14,6,18,1,4024,6048,0.67,White flowers growing from brick wall,white daisy flowers in bloom during daytime,nikon,NIKON Z 6,100.0,1.4,24.0,0.0004,1051,2765,3,0,5851.028711919367
76d4cefa33,Thursday,17,23,6,1,3696,2407,1.54,Fresh red apples,bunch of red apples,nikon,NIKON D5100,6400.0,8.0,55.0,0.0004,2361,39404,1,1,9763.730891832542
9f14a1daf9,Friday,5,33,47,1,3660,5605,0.65,,woman in white long sleeve shirt sitting on brown wooden bench during daytime,sony,ILCE-6300,100.0,1.8,50.0,0.00125,1135,570,4,2,5805.516811249476
e2a170bb65,Tuesday,14,28,47,1,4608,3074,1.5,Sunset in Ullum,calm body of water under red clouds in timelapse photography,nikon,COOLPIX AW120,125.0,2.8,4.3,0.008,1558,3125,21,0,6739.304971122112
